parameter_name,value,unit,source,source_type,confidence,sensitivity,notes
sensor_drift_rate_c3_init,0,degC_per_s,"design decision -- healthy baseline (no drift) for the sensor_drift fault hook, demonstrated on cht_c3 per failure-mode-matrix.csv's own suggested example",calibrated,high,high,"FIRST live implementation of the Xv (ground truth) vs Xs (sensor-reported) split from ground-truth-schema.yaml -- cht3_out stays the true physics value (feeds the coolant loop, unaffected by this fault); cht3_reported_out = true + a slow ramp, is what a real sensor would report. Verified: at 0.01 degC/s over 3000s, reported value drifts exactly +30C while true value AND every coupled sibling (egt_c3, coolant, cht1) stay untouched at their healthy baseline -- exact match to the matrix's discriminator ('lone channel residual ramps while ALL physically-coupled channels stay within 1 sigma')."
sensor_bias_offset_c3_init,0,degC,"design decision -- healthy baseline (no bias) for the sensor_bias fault hook, demonstrated on the same channel as sensor_drift (cht_c3) so both sensor faults share one Xv/Xs split",calibrated,high,high,"cht3_reported_out = cht3_out (true) + drift ramp + this constant offset, on the same Sum block as sensor_drift -- each term independently zeroable. Verified: bias=15degC gives a CONSTANT +15.00 residual from t=1497 to t=3000 (flat, not ramping -- the discriminator vs sensor_drift), while cht3_out (true), cht1_out, egt_c3_out, and coolant_out are all bit-identical to the bias=0 case -- exact match to the matrix's discriminator ('lone channel residual = constant nonzero while siblings within 1 sigma')."
sensor_noise_sigma_c3_init,0,degC,"design decision -- healthy baseline (no noise) for the sensor_noise fault hook, same channel/Sum-block pattern as sensor_drift/sensor_bias",calibrated,high,high,"Zero-mean Gaussian term (Simulink Random Number block, 0.1s sample time, fixed seed=42 for reproducibility) added into cht3_reported_out. Verified: sigma=0 gives mean(resid)=0.0000/std(resid)=0.0000 exactly; sigma=3 gives mean(resid)=0.015 (~0, noise) / std(resid)=2.985 (matches requested sigma), while cht1_out and egt_c3_out are bit-identical to the sigma=0 case -- exact match to the matrix's discriminator ('moves variance not mean'), distinct from bias (moves mean, zero variance) and drift (moves mean over time)."
sensor_stuck_activation_time_init,1e6,s,"design decision -- healthy baseline (never activates within any realistic mission) for the sensor_stuck fault hook, same channel as the other sensor faults (cht_c3)",calibrated,high,high,"Structurally different from bias/drift/noise: a Switch+Memory sample-and-hold stage after the Sum, gated by a Step block (not a Constant -- a Constant=1 for the whole run would just hold the Memory block's t=0 IC forever, never having passed a real reading through first). Before activation, Switch passes the live signal; at activation it freezes at whatever Memory last held and re-holds itself via the feedback loop. Verified with a throttle transient (0.6->1.0 at t=1500s, activation also at t=1500s): reported_c3 frozen at exactly 88.80 from t=1500 to t=3000 while true_c3 and sibling cht1_out both moved +105.56 -- exact match to the matrix's 'channel derivative = 0 while engine_state dynamic' discriminator. Healthy case (activation=1e6) tracks true value with max|resid|=0.0000 through the same transient."
bearing_health_init,1.0,fraction,"design decision -- healthy baseline for the mechanical_vibration fault hook (STEP 4, last Tier A fault)",calibrated,high,high,"model_tier=crank_resolved per the matrix (true signature needs the not-yet-built sidecar) -- this is the mean-value PROXY, synthesized directly as an RMS/amplitude feature (telemetry-schema.yaml only wants the RMS-reduced signal anyway, raw waveform is explicitly out-of-band). Also scales friction torque (matrix: 'bearing_health raises imbalance + friction'). Verified: healthy->degraded(0.5)->failed(0.0) shows vibration_order_1x growing 0->0.291->0.565g, oil_temp rising 114.2->118.6->122.6C (extra friction heat) -- both are the matrix's stated correlated_signals. Also produced a genuine emergent second-order effect: oil_pressure drops slightly (2.50->2.47 bar) purely because added friction shifts equilibrium RPM down, and oil pressure is RPM-dependent -- not explicitly wired, fell out of the coupled model."
vibration_baseline_g,0.05,g,"assumed -- small, always-present healthy mechanical noise floor",assumed,low,medium,"vibration_rms_x = sqrt(vibration_baseline_g^2 + vibration_order_1x^2)"
vibration_imbalance_gain_g,0.6,g,"assumed -- imbalance amplitude at full wear (bearing_health=0) AND rated RPM",assumed,low,high,"Scales with (RPM/rated_rpm)^2, matching real rotating-imbalance physics (force ~ m*r*omega^2) -- fault most visible at high RPM, consistent with the matrix's recommended coverage condition ('constant RPM missions repeated over time')."
bearing_friction_gain,0.5,fraction,"assumed -- at bearing_health=0, friction torque coefficient increases 50%",assumed,low,medium,"Implements the matrix's 'bearing_health raises imbalance + friction' -- the friction half of that statement."
sensor_dropout_start_time_init,1e6,s,"design decision -- healthy baseline (never starts within a real mission) for the sensor_dropout fault hook, demonstrated on vibration_rms_x rather than cht_c3",calibrated,high,high,"Deliberately NOT on cht_c3 like the other three sensor faults: cht_c1's telemetry-schema.yaml missing_value_policy is hold_last, the same mechanism as sensor_stuck -- a dropout there would be indistinguishable from stuck. vibration_rms_x's declared policy is nan (emit NaN, quality_flag=MISSING), a genuinely different mechanism, and 'obey missing_value_policy' means match the FIELD's declared policy, not a universal implementation. Rectangular Step-on/Step-off window (not permanent, unlike stuck) models the matrix's intermittent onset AND lets recovery be checked. Verified: window [1500,2000]s gives NaN for exactly that window (5001 samples) and zero NaN outside it; vibration_rms_z (derived from the TRUE vibration_rms_x upstream of this dropout switch, the clean sibling) stays a normal physical value (0.0150 at mid-dropout, t=1750) throughout -- exact match to the matrix's discriminator ('dropout is ONE channel; siblings normal')."
sensor_dropout_end_time_init,2e6,s,"design decision -- companion to sensor_dropout_start_time_init above; must be > start",calibrated,high,high,"see sensor_dropout_start_time_init"
fuel_delivery_health_init,1.0,fraction,"design decision -- healthy baseline for the fuel_starvation fault hook (STEP 4, first Tier B fault)",calibrated,high,high,"CONDITION-GATED fault: caps max_deliverable_fuel = fuel_delivery_health*max_rated_fuel_flow via min(commanded,cap) -- does not scale delivery at all loads like injector_health does. Verified: cruise (thr=0.6) is IDENTICAL regardless of health (56.7kW/12.11kg/h both cases, matches 'invisible at cruise'); at full throttle with health=0.6, power collapses 123.5->77.1kW, RPM drops 3879.5->3291.8, fuel pins exactly at the 16.80kg/h cap -- matches the matrix's discriminator and correlated_signals (torque, rpm) exactly. Fuel deficit ratio also scales torque (engine can't make full torque without the fuel to back it) -- feeds all the way into the actual torque-balance integrator, not just a reported number, so RPM genuinely re-equilibrates lower under starvation. NOTE: building this surfaced two compounding Simulink structural bugs, not one -- see build_plan.md's Step 4 log for the full story (vector-width mismatch on the MinMax block, then Mux output-port-order instability across edits, resolved by replacing the Mux+Fcn division with a dedicated Divide block). Re-validated post-fix: healthy full-throttle 123.4kW, degraded (health=0.6) full-throttle 77.1kW/16.80kg/h -- identical to the pre-bug numbers, confirming the fix is correct and the earlier apparent-pass was coincidental, not causally correct."
coolant_heat_fraction,0.28,fraction_of_fuel_energy,"literature-typical diesel heat-balance split -- same figure already used to derive cooling_heat_rejection_nominal above, kept as one live parameter so both stay consistent",literature,medium,high,"Used live in combustion subsystem to split fuel energy into work/coolant/exhaust each timestep, not just at the one rated calibration point."
head_heat_share_of_coolant,0.20,fraction_of_coolant_heat,"literature judgment call -- fraction of coolant-bound heat specifically attributed to the head (vs. block/liner)",literature,low,high,"Same assumption already used to derive cht_heat_transfer_coeff above, now wired live: Q_head = coolant_heat_fraction * head_heat_share_of_coolant * fuel_power."
injection_timing_nominal,6,deg_BTDC,"automotive-CRDI main-injection guidance (Bosch-class technical literature, corroborated by a patent giving the ~20 BTDC to ~10 ATDC full operating envelope)",literature,low,high,"RED FLAG: drives combustion phasing -> EGT, high sensitivity, no AE300-specific value exists. This is the MAIN injection start at cruise/part-load -- the engine's primary operating point and where the fault demos run -- used as the V1 single-scalar placeholder pending the full load-schedule below. DO NOT use a generic '10-30 deg BTDC diesel' figure for this engine class: that range is for older mechanical-injection/heavy-diesel engines, not modern common-rail -- using it here would over-advance combustion phasing, throw off EGT, and miscalibrate the injector/timing-drift fault baselines that depend on it."
injection_timing_schedule_idle,0,deg_BTDC,"automotive-CRDI guidance: idle/no-load main injection start window is 2 deg BTDC to 4 deg ATDC (essentially at TDC)",literature,low,medium,"Load-schedule reference point (not yet wired into the model -- injection_timing_nominal above is the V1 scalar fallback at cruise). Use 0/TDC as the representative idle value."
injection_timing_schedule_fullload,12,deg_BTDC,"automotive-CRDI guidance: full-load main injection start window is ~6-15 deg BTDC; patent corroborates up to ~20 deg BTDC at some operating points",literature,low,medium,"Load-schedule reference point, same status as the idle row above. Use ~12 deg BTDC as the representative full-load value."
injection_pilot_timing_nominal,60,deg_BTDC,"automotive-CRDI guidance: pilot/pre-injection fires 40-85 deg BTDC, a small fuel quantity to reduce ignition delay and combustion noise",literature,low,medium,"SEPARATE injection event from main injection above -- do not conflate the two. Not currently modeled (single-pulse injection assumed); this row exists so a future multi-pulse CRDI model doesn't have to re-derive the distinction or accidentally use this figure as if it were main-injection timing."
injection_timing_deg_init,0.0,fraction,"design decision -- healthy baseline (no drift) for the injection_timing_drift fault hook (STEP 4, Tier B)",calibrated,high,high,"0.0=healthy/1.0=max-drift convention (this is a _deg-suffixed degradation driver, not a _health fraction -- see health-parameter-registry.md). Scales injection_timing_max_drift below to retard the main-injection start away from injection_timing_nominal, then feeds three separate final-signal penalties (torque, fuel, exhaust_fraction) rather than perturbing an internal feedback loop. Verified end-to-end (healthy/deg=0.6/deg=1.0): power 123.4->107.6->97.4kW (down), fuel_flow 27.98->28.87->29.26kg/h (up), EGT 696.4->943.3->1127.6C (up), identical across all 4 cylinders (single scalar driver, not per-cylinder) -- exact match to the matrix's discriminator."
injection_timing_max_drift,8,deg,"assumed -- plausible full-failure retard magnitude for a CRDI timing-control fault, no AE300-specific figure exists",assumed,low,high,"actual_timing = injection_timing_nominal - injection_timing_deg*injection_timing_max_drift (retard only, matches real injector-timing-fault physics of delayed combustion, not advanced)."
timing_drift_torque_penalty,0.15,fraction,"assumed -- at full drift (deg=1.0), torque derates 15% off the fuel-deficit-adjusted baseline",assumed,low,high,"Applied as a direct multiply on the final torque signal, same pattern as fuel_delivery_health's deficit-ratio multiply -- decoupled from the RPM feedback loop so the penalty doesn't get diluted (see build_plan.md Step 4 log: an earlier internal-BSFC-lookup version of this penalty got nearly cancelled by the RPM feedback and was reverted in favor of this final-signal approach)."
timing_drift_bsfc_penalty,0.15,fraction,"assumed -- at full drift (deg=1.0), BSFC (and therefore fuel_flow) worsens 15%, consistent with retarded combustion burning less efficiently",assumed,low,high,"Applied as a direct multiply on the final fuel_flow signal, same reasoning as timing_drift_torque_penalty above -- verified fuel_flow genuinely rises with deg (27.98->28.87->29.26kg/h) after this fix, unlike the pre-fix version which was nearly flat."
timing_drift_exhaust_penalty,0.15,fraction,"assumed -- at full drift (deg=1.0), exhaust_fraction (of fuel energy) rises 15 percentage points off its literature-anchored 0.35 baseline, consistent with retarded combustion pushing more heat out the exhaust instead of into work",assumed,low,high,"Wired into fcn_exhaustfraction so exhaust_fraction becomes dynamic (0.35-0.50) under this fault; fcn_otherlosses_fraction was fixed to reference this SAME dynamic value (1-u[1]-CoolantHeatFraction-u[2]) rather than a stale hardcoded 0.35, preserving energy conservation."
#
# ---- TURBO / AIR PATH --------------------------------------------------------
turbo_boost_map,TBD,table,"cannot be filled with a single scalar -- this is a 2D RPM->boost lookup",calibrated,TBD,high,"Method once the air/turbo subsystem is built (Step 2): calibrate the table so the resulting engine power curve matches crank_torque_rated at rated_rpm (both published/derived above), same 'construct then match a real target' discipline as the thermal section -- not left as a placeholder scalar."
turbo_efficiency_nominal,0.68,-,"literature-typical peak efficiency for a small automotive-derived turbocharger (0.65-0.70 range)",literature,low,high,turbo map efficiency; provisional
turbo_altitude_comp_headroom,1.5,-,"engineering assumption: turbo's max pressure ratio as a multiple of its sea-level full-throttle PR -- no published critical-altitude figure exists for this engine",assumed,low,high,"Governs how the turbo compensates for altitude (raises PR to hold MAP constant, up to this headroom limit). Gives critical altitude ~3291m (60% of the 5490m certified ceiling) -- a defensible design point for a road-car-derived turbo adapted for aviation use, not a purpose-built high-altitude unit. Directly determines the shape of the altitude-vs-power curve (flat then falling), which is the behavior PS validation Test 4 checks for -- worth revisiting if that test's expected shape is specified more precisely elsewhere."
turbo_efficiency_deg_init,0.0,fraction,"design decision -- healthy baseline for the turbo_degradation fault hook (STEP 4)",calibrated,high,high,"INVERTED convention per health-parameter-registry.md (0=healthy, 1=fully degraded -- a '_deg' scalar, not '_health'). Scales the turbo's altitude-compensation headroom specifically: effective_headroom = 1+(turbo_altitude_comp_headroom-1)*(1-turbo_efficiency_deg). Verified: at sea level, completely invisible regardless of health (123.5kW either way) -- matches the matrix's own discriminator ('may be invisible at sea level'). At 4000m altitude, power/boost degrade progressively (108.0->87.6->73.1kW as deg 0->0.4->0.7) while EGT climbs (718.9->903.8C, exceeding the 850C ceiling at the 0.7 failure threshold) -- matches the matrix's stated consequence exactly ('Power loss + high EGT at altitude')."
intercooler_effectiveness,0.75,-,"literature-typical for air-air/air-liquid intercoolers on small engines (0.7-0.85 range)",literature,low,medium,intake temp after intercooler; provisional
volumetric_efficiency_map,TBD,table,"cannot be filled with a single scalar -- this is a 2D VE(RPM,MAP) lookup",calibrated,TBD,high,"Same method as turbo_boost_map: calibrate once the air-path subsystem exists so resulting air mass flow is consistent with the power curve, not filled with a placeholder scalar now."
intake_manifold_volume,1.5,L,"assumed -- small relative to the 1.991L displacement, typical for this engine class",assumed,low,low,filling-emptying dynamics; LOW sens (can assume)
#
# ---- OPERATING LIMITS (EASA TCDS E.200 Issue 12, 30 June 2020 -- real published
#      safety-limit bounds; NOT the same as nominal/typical running values, which
#      still need the literature-based thermal-mass/heat-transfer-coeff rows below
#      to actually simulate transient temperature behavior) ------------------
oil_temperature_min_operating,50,degC,EASA TCDS E.200 (E4),published,high,medium,"minimum opening-up oil temp"
oil_temperature_max,140,degC,EASA TCDS E.200 (E4),published,high,high,"hard max oil temp limit"
coolant_temperature_min_operating,60,degC,EASA TCDS E.200 (E4),published,high,medium,"minimum opening-up cooling fluid temp"
coolant_temperature_max,105,degC,EASA TCDS E.200 (E4),published,high,high,"hard max cooling fluid temp limit"
gearbox_temperature_max,120,degC,EASA TCDS E.200,published,high,low,"not currently modeled as its own thermal node -- captured for future gearbox subsystem"
oil_pressure_min_idle,0.9,bar,EASA TCDS E.200,published,high,medium,"minimum oil pressure at idle conditions"
oil_pressure_min_max_continuous,2.5,bar,EASA TCDS E.200,published,high,high,"minimum oil pressure at max continuous conditions"
oil_pressure_max,6.5,bar,EASA TCDS E.200,published,high,medium,"hard max oil pressure limit"
fuel_supply_pressure_min,4,bar,EASA TCDS E.200,published,high,low,"at inlet of HP engine pump -- LOW-PRESSURE fuel supply, NOT common-rail pressure. Do not confuse with rail_pressure_nominal below."
fuel_supply_pressure_max,7,bar,EASA TCDS E.200,published,high,low,"at inlet of HP engine pump -- same caveat as above"
max_operating_altitude,5490,m,"EASA TCDS E.200 (E4 model; 18000 ft)",published,high,medium,"comfortably inside the troposphere (11000m), resolving environment-schema.yaml's open question about needing an above-tropopause branch for this engine class"
#
# ---- THERMAL ------------------------------------------------------------------
# Method (no engine publishes these): size thermal masses from geometry +
# material properties, then calibrate heat-transfer/effectiveness parameters
# so steady-state temperatures honor the real TCDS oil/coolant limits (oil
# 50-135C normal / 140C max; coolant 60-105C). CHT/EGT have NO TCDS anchor --
# calibrated instead against diesel-literature ceilings (CHT ~180-220C
# aluminum head, EGT ~700-850C pre-turbine), tagged literature and provisional.
